File,Result,Runtime (s)
hard-ll.c_1.smt2,UNSOLVED,4.0
hard-ll.c_2.smt2,UNSOLVED,4.0
hard-ll.c_3.smt2,UNSOLVED,4.0
hard-ll.c_4.smt2,UNSOLVED,4.0
hard.c_2.smt2,UNSOLVED,4.0
hard.c_3.smt2,UNSOLVED,4.0
interleave_bits.c_1.smt2,UNSOLVED,4.0
interleave_bits.c_2.smt2,UNSOLVED,4.0
interleave_bits.c_3.smt2,SAT,1.1676
interleave_bits.c_4.smt2,SAT,0.2297
jain_5-2.c_0.smt2,UNSOLVED,4.0
jain_7-2.c_3.smt2,UNSOLVED,4.0
nested5-2.c_0.smt2,UNSOLVED,4.0
ps4-ll.c_0.smt2,UNSOLVED,4.0
ps4-ll.c_10.smt2,UNSOLVED,4.0
ps4-ll.c_11.smt2,UNSOLVED,4.0
ps4-ll.c_12.smt2,UNSOLVED,4.0
ps4-ll.c_13.smt2,UNSOLVED,4.0
ps4-ll.c_2.smt2,UNSOLVED,4.0
ps4-ll.c_4.smt2,UNSOLVED,4.0
ps4-ll.c_5.smt2,UNSOLVED,4.0
ps5-ll.c_0.smt2,UNSOLVED,4.0
ps5-ll.c_10.smt2,UNSOLVED,4.0
ps5-ll.c_11.smt2,UNSOLVED,4.0
ps5-ll.c_12.smt2,UNSOLVED,4.0
ps5-ll.c_13.smt2,UNSOLVED,4.0
ps5-ll.c_2.smt2,UNSOLVED,4.0
ps5-ll.c_3.smt2,UNSOLVED,4.0
ps5-ll.c_4.smt2,UNSOLVED,4.0
ps5-ll.c_5.smt2,UNSOLVED,4.0
ps6.c_0.smt2,UNSOLVED,4.0
ps6.c_10.smt2,UNSOLVED,4.0
ps6.c_11.smt2,UNSOLVED,4.0
ps6.c_12.smt2,UNSOLVED,4.0
ps6.c_13.smt2,UNSOLVED,4.0
modInv128.smt2,UNSOLVED,4.0
modInv16.smt2,UNSOLVED,4.0
modInv32.smt2,UNSOLVED,4.0
modInv64.smt2,UNSOLVED,4.0
modInv8.smt2,UNSOLVED,4.0
modInvFull.smt2,UNSOLVED,4.0
modInvInitial.smt2,UNSOLVED,4.0
modInvStep.smt2,UNSOLVED,4.0
modInvStepSimplified.smt2,UNSOLVED,4.0
modInvVar1.smt2,UNSOLVED,4.0
modSimpleTest.smt2,UNSAT,0.2079
sqrtStep1.smt2,UNSOLVED,4.0
sqrtStep1a.smt2,UNSOLVED,4.0
sqrtStep2.smt2,UNSOLVED,4.0
sqrtStep2a.smt2,UNSOLVED,4.0
sqrtStep3.smt2,UNSOLVED,4.0
sqrtStep3a.smt2,UNSOLVED,4.0
sqrtStep4.smt2,UNSOLVED,4.0
sqrtStep4a.smt2,UNSOLVED,4.0
sqrtStep5.smt2,UNSOLVED,4.0
sqrtStep5a.smt2,UNSOLVED,4.0
sqrtStep6.smt2,UNSOLVED,4.0
sqrtStep6a.smt2,UNSOLVED,4.0
sqrtStep7.smt2,UNSOLVED,4.0
sqrtStep7a.smt2,UNSOLVED,4.0
sqrtStepFinal.smt2,UNSOLVED,4.0
sqrtStepFinala.smt2,UNSOLVED,4.0
A_1.smt2,UNSOLVED,1.46
B_1.smt2,UNSOLVED,4.0
B_2.smt2,UNSOLVED,4.0
C_1.smt2,UNSOLVED,4.0
C_2.smt2,UNSOLVED,4.0
D_1.smt2,UNSOLVED,4.0
D_2.smt2,UNSOLVED,4.0
E_1.smt2,UNSOLVED,4.0
E_2.smt2,UNSOLVED,4.0
aproveSMT1001700549504608195.smt2,UNSOLVED,4.0
aproveSMT1002369120799378097.smt2,SAT,0.0391
aproveSMT1002987040614633432.smt2,SAT,0.0682
aproveSMT1003079011540423379.smt2,SAT,0.0956
aproveSMT1004548876139444098.smt2,SAT,0.0596
aproveSMT100500964594886141.smt2,UNSOLVED,4.0
aproveSMT1006593265001882878.smt2,SAT,0.0293
aproveSMT1007445772889800596.smt2,UNSOLVED,4.0
aproveSMT1008289700543544835.smt2,SAT,0.0419
aproveSMT1009548771014223017.smt2,SAT,0.1043
aproveSMT1010832203505577909.smt2,UNSOLVED,4.0
aproveSMT1011702640639437570.smt2,SAT,0.0367
aproveSMT101417910736011502.smt2,UNSAT,1.3813
aproveSMT1016338376657137265.smt2,SAT,0.0281
aproveSMT1017370803858160340.smt2,SAT,0.0482
aproveSMT1017862898884660660.smt2,SAT,0.0723
aproveSMT1021654105853853383.smt2,SAT,0.0453
aproveSMT102176498393626587.smt2,UNSOLVED,4.0
aproveSMT1022543817592849705.smt2,SAT,0.0383
aproveSMT1023437561463628372.smt2,SAT,0.0814
aproveSMT1026916174897974995.smt2,SAT,0.0442
aproveSMT1031134853756247882.smt2,SAT,0.0493
aproveSMT1033597413588659161.smt2,UNSOLVED,4.0
aproveSMT1038244403212994346.smt2,SAT,0.0669
aproveSMT1044364220480225355.smt2,SAT,0.0328
aproveSMT1045293394610378205.smt2,SAT,0.0325
aproveSMT1047107094794491268.smt2,UNSOLVED,4.0
