File,Result,Runtime (s)
MQ_03.smt2,UNSOLVED,20.0
MQ_04.smt2,UNSOLVED,20.0
MQ_05.smt2,UNSOLVED,20.0
MQ_06.smt2,UNSOLVED,20.0
MQ_07.smt2,UNSOLVED,20.0
MQ_08.smt2,UNSOLVED,20.0
MQ_09.smt2,UNSOLVED,20.0
MQ_10.smt2,UNSOLVED,20.0
MQ_11.smt2,UNSOLVED,20.0
MQ_12.smt2,UNSOLVED,20.0
MS_03.smt2,UNSOLVED,20.0
MS_04.smt2,UNSOLVED,20.0
MS_05.smt2,UNSOLVED,20.0
MS_06.smt2,UNSOLVED,20.0
MS_07.smt2,UNSOLVED,20.0
MS_08.smt2,UNSOLVED,20.0
MS_09.smt2,UNSOLVED,20.0
MS_10.smt2,UNSOLVED,20.0
MS_11.smt2,UNSOLVED,20.0
MS_12.smt2,UNSOLVED,20.0
RTA_091.smt2,UNSOLVED,20.0
RTA_092.smt2,UNSOLVED,20.0
RTA_093.smt2,UNSOLVED,20.0
RTA_094.smt2,UNSOLVED,20.0
RTA_095.smt2,UNSOLVED,20.0
RTA_096.smt2,UNSOLVED,20.0
cohencu.c_2.smt2,UNSOLVED,20.0
cohencu.c_4.smt2,UNSOLVED,20.0
divbin2.c_3.smt2,UNSOLVED,20.0
divbin2.c_4.smt2,UNSOLVED,20.0
divbin2.c_5.smt2,UNSOLVED,20.0
divbin2.c_6.smt2,UNSOLVED,20.0
divbin2.c_7.smt2,UNSOLVED,20.0
divbin2.c_8.smt2,UNSOLVED,20.0
divbin2.c_9.smt2,UNSOLVED,20.0
egcd.c_1.smt2,UNSOLVED,20.0
hard-ll.c_0.smt2,UNSOLVED,20.0
hard-ll.c_1.smt2,UNSOLVED,20.0
hard-ll.c_2.smt2,UNSOLVED,20.0
hard-ll.c_3.smt2,UNSOLVED,20.0
hard-ll.c_4.smt2,UNSOLVED,20.0
hard.c_2.smt2,UNSOLVED,20.0
hard.c_3.smt2,UNSOLVED,20.0
interleave_bits.c_1.smt2,UNSOLVED,20.0
interleave_bits.c_2.smt2,UNSAT,16.3829
jain_5-2.c_0.smt2,UNSOLVED,20.0
jain_7-2.c_3.smt2,UNSOLVED,20.0
nested5-2.c_0.smt2,UNSAT,1.2234
ps4-ll.c_0.smt2,UNSOLVED,20.0
ps4-ll.c_10.smt2,UNSOLVED,20.0
ps4-ll.c_11.smt2,UNSOLVED,20.0
ps4-ll.c_12.smt2,UNSOLVED,20.0
ps4-ll.c_13.smt2,UNSOLVED,20.0
ps4-ll.c_2.smt2,UNSOLVED,20.0
ps4-ll.c_4.smt2,UNSOLVED,20.0
ps4-ll.c_5.smt2,UNSOLVED,20.0
ps5-ll.c_0.smt2,UNSOLVED,20.0
ps5-ll.c_10.smt2,UNSOLVED,20.0
ps5-ll.c_11.smt2,UNSOLVED,20.0
ps5-ll.c_12.smt2,UNSOLVED,20.0
ps5-ll.c_13.smt2,UNSOLVED,20.0
ps5-ll.c_2.smt2,UNSOLVED,20.0
ps5-ll.c_3.smt2,UNSOLVED,20.0
ps5-ll.c_4.smt2,UNSOLVED,20.0
ps5-ll.c_5.smt2,UNSOLVED,20.0
ps6.c_0.smt2,UNSOLVED,20.0
ps6.c_10.smt2,UNSOLVED,20.0
ps6.c_11.smt2,UNSOLVED,20.0
ps6.c_12.smt2,UNSOLVED,20.0
ps6.c_13.smt2,UNSOLVED,20.0
modInv128.smt2,UNSOLVED,20.0
modInv16.smt2,UNSOLVED,20.0
modInv32.smt2,UNSOLVED,20.0
modInv64.smt2,UNSOLVED,20.0
modInv8.smt2,UNSOLVED,20.0
modInvFull.smt2,UNSOLVED,20.0
modInvInitial.smt2,UNSOLVED,20.0
modInvStep.smt2,UNSOLVED,20.0
modInvStepSimplified.smt2,UNSOLVED,20.0
modInvVar1.smt2,UNSOLVED,20.0
sqrtStep1.smt2,UNSAT,0.854
sqrtStep1a.smt2,UNSAT,0.8541
sqrtStep2.smt2,UNSOLVED,20.0
sqrtStep2a.smt2,UNSOLVED,20.0
sqrtStep3.smt2,UNSAT,1.143
sqrtStep3a.smt2,UNSAT,0.4606
sqrtStep4.smt2,UNSAT,2.6232
sqrtStep4a.smt2,UNSAT,0.4149
sqrtStep5.smt2,UNSAT,2.7973
sqrtStep5a.smt2,UNSAT,0.1626
sqrtStep6.smt2,UNSAT,3.1298
sqrtStep6a.smt2,UNSAT,0.3602
sqrtStep7.smt2,UNSAT,4.3652
sqrtStep7a.smt2,UNSAT,1.4549
sqrtStepFinal.smt2,UNSOLVED,20.0
sqrtStepFinala.smt2,UNSOLVED,20.0
B_1.smt2,UNSOLVED,1.3034
B_2.smt2,UNSOLVED,3.8336
C_1.smt2,UNSOLVED,6.7396
C_2.smt2,UNSOLVED,20.0
D_1.smt2,UNSOLVED,20.0
D_2.smt2,UNSOLVED,20.0
E_1.smt2,UNSOLVED,20.0
E_2.smt2,UNSOLVED,20.0
aproveSMT1001700549504608195.smt2,SAT,4.9409
aproveSMT100500964594886141.smt2,UNSAT,17.0622
aproveSMT1007445772889800596.smt2,SAT,0.1085
aproveSMT1010832203505577909.smt2,SAT,-0.6508
aproveSMT102176498393626587.smt2,SAT,0.2783
aproveSMT1033597413588659161.smt2,SAT,1.5653
aproveSMT1047107094794491268.smt2,UNSAT,8.4188
aproveSMT1059628807158111792.smt2,UNSAT,0.0193
aproveSMT1067132971625049215.smt2,SAT,18.5752
aproveSMT1067631316961394932.smt2,SAT,4.313
aproveSMT1074794681419974085.smt2,SAT,0.1385
aproveSMT1074996860240419241.smt2,SAT,12.618
aproveSMT1090696552017880877.smt2,SAT,2.6717
aproveSMT1091600435177837637.smt2,SAT,4.0095
aproveSMT1092050415997084290.smt2,UNSAT,0.3207
aproveSMT109680382490054156.smt2,UNSOLVED,20.0
aproveSMT1100514060021376770.smt2,SAT,0.0402
digital-stopwatch.locals.nosummaries.smt2,UNSOLVED,20.0
digital-stopwatch.locals.smt2,UNSAT,0.1828
4NestedWith3Variables_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,5.4166
AliasDarteFeautrierGonnord-SAS2010-aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.175
Benghazi_nondet_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.5653
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.6214
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,20.0
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,20.0
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,20.0
ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.7613
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.9865
Hanoi_plus_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.3331
Hanoi_plus_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2633
gauss_sum_true-unreach-call.i.smt2,UNSAT,0.0743
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.3337
a.06-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.4275
a.07-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.4333
