File,Result,Runtime (s)
problem-000008.cvc.1.smt2,SAT,0.0632
problem-000008.cvc.2.smt2,SAT,0.1184
problem-000012.cvc.1.smt2,SAT,0.1159
problem-000012.cvc.2.smt2,UNSAT,0.1845
problem-000013.cvc.1.smt2,SAT,0.1147
problem-000016.cvc.1.smt2,SAT,0.1156
problem-000016.cvc.2.smt2,UNSAT,0.2008
problem-000019.cvc.1.smt2,SAT,0.0614
problem-000019.cvc.2.smt2,SAT,0.1191
problem-000021.cvc.1.smt2,SAT,0.113
problem-000021.cvc.2.smt2,UNSAT,0.1833
problem-000024.cvc.1.smt2,SAT,0.1099
problem-000025.cvc.1.smt2,SAT,0.1296
problem-000025.cvc.2.smt2,UNSAT,0.1895
problem-000030.cvc.1.smt2,SAT,0.0779
problem-000030.cvc.2.smt2,UNSAT,0.1621
problem-000031.cvc.1.smt2,SAT,0.0678
problem-000032.cvc.1.smt2,SAT,0.0705
problem-000032.cvc.2.smt2,SAT,0.4288
problem-000036.cvc.1.smt2,SAT,0.1393
problem-000036.cvc.2.smt2,UNSAT,0.1361
problem-000037.cvc.1.smt2,SAT,0.145
problem-000043.cvc.1.smt2,SAT,0.1329
problem-000044.cvc.1.smt2,SAT,0.1349
problem-000044.cvc.2.smt2,UNSAT,0.1369
problem-000062.cvc.1.smt2,SAT,0.2849
problem-000062.cvc.2.smt2,UNSAT,0.1364
problem-000063.cvc.1.smt2,UNSAT,0.1133
problem-000064.cvc.1.smt2,UNSAT,0.1437
problem-000080.cvc.1.smt2,UNSAT,0.1178
problem-000081.cvc.1.smt2,SAT,0.2886
problem-000081.cvc.2.smt2,UNSAT,0.1352
problem-000084.cvc.1.smt2,UNSAT,0.1415
problem-000100.cvc.1.smt2,SAT,0.2878
problem-000100.cvc.2.smt2,UNSAT,0.1361
problem-000103.cvc.1.smt2,UNSAT,0.1113
problem-000104.cvc.1.smt2,UNSAT,0.1413
problem-000120.cvc.1.smt2,SAT,0.2842
problem-000123.cvc.1.smt2,UNSAT,0.115
problem-000124.cvc.1.smt2,UNSAT,0.1455
problem-000125.cvc.1.smt2,SAT,0.0749
problem-000125.cvc.2.smt2,UNSAT,0.2374
problem-000128.cvc.1.smt2,SAT,0.072
term-3qaBfW.smt2,SAT,1.8617
term-3rtjVi.smt2,SAT,2.651
term-4AzLVe.smt2,SAT,2.2467
term-7fXGzy.smt2,SAT,0.5863
term-Aon9bM.smt2,SAT,1.7151
term-BWHEfg.smt2,SAT,2.9644
term-CrNtep.smt2,SAT,1.3869
term-DtOD2C.smt2,SAT,0.4118
term-F85Fh4.smt2,SAT,0.6781
term-H5JQ97.smt2,SAT,2.3306
SUMMARY,SAT:90 UNSAT:109 UNSOLVED:1,92.1558
