File,Result,Runtime (s)
problem-000012.cvc.2.smt2,UNSAT,0.7827
problem-000013.cvc.1.smt2,SAT,0.4011
problem-000016.cvc.1.smt2,SAT,0.3988
problem-000016.cvc.2.smt2,UNSAT,0.8062
problem-000019.cvc.1.smt2,SAT,0.0773
problem-000019.cvc.2.smt2,SAT,0.1698
problem-000021.cvc.1.smt2,SAT,0.4464
problem-000021.cvc.2.smt2,UNSAT,0.2975
problem-000024.cvc.1.smt2,SAT,0.4378
problem-000025.cvc.1.smt2,SAT,0.4731
problem-000025.cvc.2.smt2,UNSAT,0.3173
problem-000030.cvc.1.smt2,SAT,0.1719
problem-000030.cvc.2.smt2,UNSAT,0.2578
problem-000031.cvc.1.smt2,SAT,0.0853
problem-000032.cvc.1.smt2,SAT,0.0813
problem-000032.cvc.2.smt2,SAT,0.8563
problem-000036.cvc.1.smt2,SAT,0.2988
problem-000036.cvc.2.smt2,UNSAT,0.6298
problem-000037.cvc.1.smt2,SAT,0.2935
problem-000043.cvc.1.smt2,SAT,0.29
problem-000044.cvc.1.smt2,SAT,0.2859
problem-000044.cvc.2.smt2,UNSAT,0.5905
problem-000062.cvc.1.smt2,SAT,1.2102
problem-000062.cvc.2.smt2,UNSAT,0.1895
problem-000063.cvc.1.smt2,UNSAT,0.1633
problem-000064.cvc.1.smt2,UNSAT,0.251
problem-000080.cvc.1.smt2,UNSAT,0.1689
problem-000081.cvc.1.smt2,SAT,1.0939
problem-000081.cvc.2.smt2,UNSAT,0.2078
problem-000084.cvc.1.smt2,UNSAT,0.2836
problem-000100.cvc.1.smt2,SAT,1.0945
problem-000100.cvc.2.smt2,UNSAT,0.1867
problem-000103.cvc.1.smt2,UNSAT,0.1604
problem-000104.cvc.1.smt2,UNSAT,0.2605
problem-000120.cvc.1.smt2,SAT,1.2511
problem-000123.cvc.1.smt2,UNSAT,0.1625
problem-000124.cvc.1.smt2,UNSAT,0.2435
problem-000125.cvc.1.smt2,SAT,0.119
problem-000125.cvc.2.smt2,UNSAT,0.3004
problem-000128.cvc.1.smt2,SAT,0.1129
term-3qaBfW.smt2,UNSOLVED,20.0
term-3rtjVi.smt2,SAT,17.5925
term-4AzLVe.smt2,SAT,5.0968
term-7fXGzy.smt2,SAT,2.4022
term-Aon9bM.smt2,SAT,6.041
term-BWHEfg.smt2,UNSOLVED,20.0
term-CrNtep.smt2,SAT,4.3822
term-DtOD2C.smt2,SAT,1.6448
term-F85Fh4.smt2,SAT,15.9785
term-H5JQ97.smt2,SAT,3.8442
SUMMARY,SAT:86 UNSAT:91 UNSOLVED23,631.4327
