File,Result,Runtime (s)
array_4-O0.smt2,UNSAT,0.8164
benchmark52_polynomial-O0.smt2,UNSAT,0.3656
bresenham-ll-O0.smt2,UNSAT,0.3437
bresenham-ll_unwindbound1-O0.smt2,UNSAT,0.3243
bresenham-ll_unwindbound10-O0.smt2,UNSAT,0.3018
bresenham-ll_unwindbound100-O0.smt2,UNSAT,0.3195
bresenham-ll_unwindbound2-O0.smt2,UNSAT,0.2999
bresenham-ll_unwindbound20-O0.smt2,UNSAT,0.3184
bresenham-ll_unwindbound5-O0.smt2,UNSAT,0.2952
bresenham-ll_unwindbound50-O0.smt2,UNSAT,0.3159
bresenham-ll_valuebound1-O0.smt2,UNSAT,0.2914
bresenham-ll_valuebound10-O0.smt2,UNSAT,0.2956
bresenham-ll_valuebound100-O0.smt2,UNSAT,0.2985
bresenham-ll_valuebound2-O0.smt2,UNSAT,0.2953
bresenham-ll_valuebound20-O0.smt2,UNSAT,0.2838
bresenham-ll_valuebound5-O0.smt2,UNSAT,0.3168
bresenham-ll_valuebound50-O0.smt2,UNSAT,0.3013
cohencu-ll-O0.smt2,UNSAT,0.3386
MC_02.smt2,UNSAT,0.1149
MC_03.smt2,UNSOLVED,4.0
MC_04.smt2,UNSOLVED,4.0
MC_05.smt2,UNSOLVED,4.0
MC_06.smt2,UNSOLVED,4.0
MC_07.smt2,UNSOLVED,4.0
MC_08.smt2,UNSOLVED,4.0
MC_09.smt2,UNSOLVED,4.0
MC_10.smt2,UNSOLVED,4.0
MC_11.smt2,UNSOLVED,4.0
MC_12.smt2,UNSOLVED,4.0
MF_02.smt2,UNSAT,0.2819
MF_03.smt2,UNSOLVED,4.0
MF_04.smt2,UNSOLVED,4.0
MF_05.smt2,UNSOLVED,4.0
MF_06.smt2,UNSOLVED,4.0
MF_07.smt2,UNSOLVED,4.0
MF_08.smt2,UNSOLVED,4.0
MF_09.smt2,UNSOLVED,4.0
MF_10.smt2,UNSOLVED,4.0
MF_11.smt2,UNSOLVED,4.0
MF_12.smt2,UNSOLVED,4.0
MQ_02.smt2,UNSAT,0.1683
MQ_03.smt2,UNSOLVED,4.0
MQ_04.smt2,UNSOLVED,4.0
MQ_05.smt2,UNSOLVED,4.0
MQ_06.smt2,UNSOLVED,4.0
MQ_07.smt2,UNSOLVED,4.0
MQ_08.smt2,UNSOLVED,4.0
MQ_09.smt2,UNSOLVED,4.0
MQ_10.smt2,UNSOLVED,4.0
MQ_11.smt2,UNSOLVED,4.0
MQ_12.smt2,UNSOLVED,4.0
MS_02.smt2,UNSAT,0.2142
MS_03.smt2,UNSOLVED,4.0
MS_04.smt2,UNSOLVED,4.0
MS_05.smt2,UNSOLVED,4.0
MS_06.smt2,UNSOLVED,4.0
MS_07.smt2,UNSOLVED,4.0
MS_08.smt2,UNSOLVED,4.0
MS_09.smt2,UNSOLVED,4.0
MS_10.smt2,UNSOLVED,4.0
MS_11.smt2,UNSOLVED,4.0
MS_12.smt2,UNSOLVED,4.0
RTA_091.smt2,UNSOLVED,4.0
RTA_092.smt2,UNSOLVED,4.0
RTA_093.smt2,UNSOLVED,4.0
RTA_094.smt2,UNSOLVED,4.0
RTA_095.smt2,UNSOLVED,4.0
RTA_096.smt2,UNSOLVED,4.0
cohencu.c_2.smt2,UNSOLVED,4.0
cohencu.c_4.smt2,UNSOLVED,4.0
divbin2.c_3.smt2,UNSOLVED,4.0
divbin2.c_4.smt2,UNSOLVED,4.0
divbin2.c_5.smt2,UNSOLVED,4.0
divbin2.c_6.smt2,UNSOLVED,4.0
divbin2.c_7.smt2,UNSOLVED,4.0
divbin2.c_8.smt2,UNSOLVED,4.0
divbin2.c_9.smt2,UNSOLVED,4.0
egcd.c_0.smt2,UNSOLVED,4.0
egcd.c_1.smt2,UNSOLVED,4.0
egcd.c_3.smt2,UNSOLVED,4.0
egcd.c_4.smt2,UNSOLVED,4.0
egcd.c_5.smt2,UNSOLVED,4.0
hard-ll.c_0.smt2,UNSOLVED,4.0
hard-ll.c_1.smt2,UNSOLVED,4.0
hard-ll.c_2.smt2,UNSOLVED,4.0
hard-ll.c_3.smt2,UNSOLVED,4.0
hard-ll.c_4.smt2,UNSOLVED,4.0
hard.c_2.smt2,UNSOLVED,4.0
hard.c_3.smt2,UNSOLVED,4.0
interleave_bits.c_1.smt2,UNSOLVED,4.0
interleave_bits.c_2.smt2,UNSOLVED,4.0
interleave_bits.c_3.smt2,UNSOLVED,4.0
interleave_bits.c_4.smt2,SAT,0.0458
jain_5-2.c_0.smt2,UNSOLVED,4.0
jain_7-2.c_3.smt2,UNSOLVED,4.0
nested5-2.c_0.smt2,UNSAT,1.3041
ps4-ll.c_0.smt2,UNSOLVED,4.0
ps4-ll.c_10.smt2,UNSOLVED,4.0
ps4-ll.c_11.smt2,UNSOLVED,4.0
ps4-ll.c_12.smt2,UNSOLVED,4.0
ps4-ll.c_13.smt2,UNSOLVED,4.0
ps4-ll.c_2.smt2,UNSOLVED,4.0
ps4-ll.c_4.smt2,UNSOLVED,4.0
ps4-ll.c_5.smt2,UNSOLVED,4.0
ps5-ll.c_0.smt2,UNSOLVED,4.0
ps5-ll.c_10.smt2,UNSOLVED,4.0
ps5-ll.c_11.smt2,UNSOLVED,4.0
ps5-ll.c_12.smt2,UNSOLVED,4.0
ps5-ll.c_13.smt2,UNSOLVED,4.0
ps5-ll.c_2.smt2,UNSOLVED,4.0
ps5-ll.c_3.smt2,UNSOLVED,4.0
ps5-ll.c_4.smt2,UNSOLVED,4.0
ps5-ll.c_5.smt2,UNSOLVED,4.0
ps6.c_0.smt2,UNSOLVED,4.0
ps6.c_10.smt2,UNSOLVED,4.0
ps6.c_11.smt2,UNSOLVED,4.0
ps6.c_12.smt2,UNSOLVED,4.0
ps6.c_13.smt2,UNSOLVED,4.0
modInv128.smt2,UNSOLVED,4.0
modInv16.smt2,UNSOLVED,4.0
modInv32.smt2,UNSOLVED,4.0
modInv64.smt2,UNSOLVED,4.0
modInv8.smt2,UNSOLVED,4.0
modInvFull.smt2,UNSOLVED,4.0
modInvInitial.smt2,UNSOLVED,4.0
modInvStep.smt2,UNSOLVED,4.0
modInvStepSimplified.smt2,UNSOLVED,4.0
modInvVar1.smt2,UNSOLVED,4.0
modSimpleTest.smt2,UNSOLVED,4.0
sqrtStep1.smt2,UNSAT,0.8849
sqrtStep1a.smt2,UNSAT,0.8829
sqrtStep2.smt2,UNSOLVED,4.0
sqrtStep2a.smt2,UNSOLVED,4.0
sqrtStep3.smt2,UNSAT,-0.3552
sqrtStep3a.smt2,UNSAT,0.4792
sqrtStep4.smt2,UNSAT,2.6514
sqrtStep4a.smt2,UNSAT,0.4328
sqrtStep5.smt2,UNSAT,2.9295
sqrtStep5a.smt2,UNSAT,0.1879
sqrtStep6.smt2,UNSAT,3.4581
sqrtStep6a.smt2,UNSAT,0.4406
sqrtStep7.smt2,UNSOLVED,4.0
sqrtStep7a.smt2,UNSAT,1.6573
sqrtStepFinal.smt2,UNSOLVED,4.0
sqrtStepFinala.smt2,UNSOLVED,4.0
A_1.smt2,UNSOLVED,0.1055
B_1.smt2,UNSOLVED,1.6119
B_2.smt2,UNSOLVED,4.0
C_1.smt2,UNSOLVED,4.0
C_2.smt2,UNSOLVED,4.0
D_1.smt2,UNSOLVED,4.0
D_2.smt2,UNSOLVED,4.0
E_1.smt2,UNSOLVED,4.0
E_2.smt2,UNSOLVED,4.0
aproveSMT1001700549504608195.smt2,UNSOLVED,4.0
aproveSMT1002369120799378097.smt2,SAT,0.0155
aproveSMT1002987040614633432.smt2,SAT,0.0331
aproveSMT1003079011540423379.smt2,SAT,0.0185
aproveSMT1004548876139444098.smt2,SAT,0.0173
aproveSMT100500964594886141.smt2,UNSOLVED,4.0
aproveSMT1006593265001882878.smt2,SAT,0.0179
aproveSMT1007445772889800596.smt2,SAT,0.1169
aproveSMT1008289700543544835.smt2,SAT,0.0147
aproveSMT1009548771014223017.smt2,SAT,0.0475
aproveSMT1010832203505577909.smt2,SAT,0.8284
aproveSMT1011702640639437570.smt2,SAT,0.0244
aproveSMT101417910736011502.smt2,UNSAT,0.1067
aproveSMT1016338376657137265.smt2,SAT,0.0136
aproveSMT1017370803858160340.smt2,SAT,0.0145
aproveSMT1017862898884660660.smt2,SAT,0.0158
aproveSMT1021654105853853383.smt2,SAT,0.0147
aproveSMT102176498393626587.smt2,SAT,0.3157
aproveSMT1022543817592849705.smt2,SAT,0.0141
aproveSMT1023437561463628372.smt2,SAT,0.0205
aproveSMT1026916174897974995.smt2,SAT,0.0156
aproveSMT1031134853756247882.smt2,SAT,0.014
aproveSMT1033597413588659161.smt2,SAT,1.7379
aproveSMT1038244403212994346.smt2,SAT,0.0173
aproveSMT1044364220480225355.smt2,SAT,0.0141
aproveSMT1045293394610378205.smt2,SAT,0.014
aproveSMT1047107094794491268.smt2,UNSOLVED,4.0
aproveSMT1049786927316670908.smt2,UNSAT,0.3494
aproveSMT1052446639564253740.smt2,SAT,0.0146
aproveSMT1059628807158111792.smt2,UNSAT,0.0201
